target	source	budget	phase	major	f1_micro	measured_bop	relative_bop_error_pct	min_layer_factor	max_layer_factor
semeval	ner	low	pilot	0.867693445	0.759801712	0.005279802	-1.741	0.212085	1.567109
semeval	ner	low	bopfix2	0.871530628	0.766651563	0.005356513	-0.314	0.215836	1.594825
semeval	dep	low	pilot	0.873547498	0.770410465	0.005315965	-1.069	0.228350	1.687292
semeval	dep	low	bopfix2	0.870688409	0.765287770	0.005387981	+0.272	0.230811	1.705476
semeval	ner	boundary	pilot	0.877116375	0.776769510	0.011046786	-5.347	0.212034	1.566733
semeval	ner	boundary	bopfix2	0.874833051	0.772706733	0.011851586	+1.548	0.223977	1.654982
semeval	dep	boundary	pilot	0.875553556	0.774193548	0.011386827	-2.434	0.228300	1.686925
semeval	dep	boundary	bopfix2	0.871436690	0.766830138	0.011699306	+0.244	0.233979	1.728883
ner	semeval	low	pilot	0.971483292	0.948559291	0.003440176	-12.148	0.257900	1.905637
ner	semeval	low	bopfix2	0.973064067	0.951419617	0.003728881	-4.776	0.293504	2.168715
ner	dep	low	pilot	0.955319297	0.919092918	0.003731862	-4.700	0.228375	1.687473
ner	dep	low	bopfix2	0.956471462	0.921196434	0.003847508	-1.746	0.239619	1.770555
ner	semeval	boundary	pilot	0.973985552	0.953086874	0.004281398	-11.992	0.257891	1.905574
ner	semeval	boundary	bopfix2	0.974359992	0.953765469	0.004738786	-2.590	0.292971	2.164779
ner	dep	boundary	pilot	0.962026408	0.931322330	0.004819794	-0.924	0.228370	1.687440
ner	dep	boundary	bopfix2	0.962168890	0.931582191	0.004876492	+0.241	0.230498	1.703160
dep	semeval	low	pilot	0.518044213	0.070142660	0.006335207	+95.277	0.628951	1.452828
dep	semeval	low	bopfix2	0.445467614	0.032292693	0.004479627	+38.080	0.322319	0.744530
dep	ner	low	pilot	0.630371614	0.277003043	0.004294636	+32.378	0.606056	1.283652
dep	ner	low	bopfix2	0.495762589	0.036989507	0.005490866	+69.251	0.458005	0.970074
dep	semeval	boundary	pilot	0.964488588	0.931374949	0.004001800	-3.939	0.628949	1.452809
dep	semeval	boundary	bopfix2	0.966901114	0.936034638	0.004141183	-0.593	0.654682	1.512249
dep	ner	boundary	pilot	0.969479586	0.941020516	0.003978475	-4.499	0.606054	1.283642
dep	ner	boundary	bopfix2	0.970678283	0.943340931	0.004187829	+0.526	0.634542	1.343980
