target	budget	allocation_source	major	f1_micro	measured_bop	bop_error_vs_uniform	delta_major_vs_uniform	delta_f1_vs_uniform	delta_major_vs_own_probe	delta_f1_vs_own_probe
semeval	low	uniform	0.857664929	0.741347905	0.005373380	+0	+0.000000000	+0.000000000	-0.008939388	-0.016687809
semeval	low	semeval	0.866604317	0.758035714	0.005374747	+1.36714185e-06	+0.008939388	+0.016687809	+0.000000000	+0.000000000
semeval	low	ner	0.871530628	0.766651563	0.005356513	-1.68663445e-05	+0.013865699	+0.025303658	+0.004926311	+0.008615849
semeval	low	dep	0.870688409	0.765287770	0.005387981	+1.46012675e-05	+0.013023480	+0.023939865	+0.004084092	+0.007252055
semeval	boundary	uniform	0.872633263	0.768673608	0.011670877	+0	+0.000000000	+0.000000000	-0.001598897	-0.002922955
semeval	boundary	semeval	0.874232160	0.771596563	0.011668866	-2.0102705e-06	+0.001598897	+0.002922955	+0.000000000	+0.000000000
semeval	boundary	ner	0.874833051	0.772706733	0.011851586	+0.000180709304	+0.002199788	+0.004033125	+0.000600892	+0.001110170
semeval	boundary	dep	0.871436690	0.766830138	0.011699306	+2.84292442e-05	-0.001196573	-0.001843470	-0.002795470	-0.004766424
ner	low	uniform	0.962386271	0.931981811	0.003915893	+0	+0.000000000	+0.000000000	-0.009469082	-0.017241274
ner	low	ner	0.971855353	0.949223085	0.003798434	-0.000117458388	+0.009469082	+0.017241274	+0.000000000	+0.000000000
ner	low	semeval	0.973064067	0.951419617	0.003728881	-0.000187011564	+0.010677796	+0.019437805	+0.001208714	+0.002196531
ner	low	dep	0.956471462	0.921196434	0.003847508	-6.83848501e-05	-0.005914809	-0.010785378	-0.015383890	-0.028026652
ner	boundary	uniform	0.972775365	0.950877355	0.004864763	+0	+0.000000000	+0.000000000	-0.001711349	-0.003106414
ner	boundary	ner	0.974486714	0.953983770	0.004860819	-3.94366523e-06	+0.001711349	+0.003106414	+0.000000000	+0.000000000
ner	boundary	semeval	0.974359992	0.953765469	0.004738786	-0.000125976703	+0.001584628	+0.002888114	-0.000126722	-0.000218301
ner	boundary	dep	0.962168890	0.931582191	0.004876492	+1.1729524e-05	-0.010606475	-0.019295164	-0.012317824	-0.022401578
dep	low	uniform	0.948695030	0.900692346	0.003244215	+0	+0.000000000	+0.000000000	-0.003084266	-0.005992476
dep	low	dep	0.951779296	0.906684822	0.003293662	+4.94463376e-05	+0.003084266	+0.005992476	+0.000000000	+0.000000000
dep	low	semeval	0.445467614	0.032292693	0.004479627	+0.0012354117	-0.503227416	-0.868399652	-0.506311682	-0.874392129
dep	low	ner	0.495762589	0.036989507	0.005490866	+0.00224665113	-0.452932442	-0.863702839	-0.456016708	-0.869695315
dep	boundary	uniform	0.967740629	0.937640253	0.004165899	+0	+0.000000000	+0.000000000	-0.004560171	-0.008829530
dep	boundary	dep	0.972300800	0.946469783	0.004231443	+6.55443849e-05	+0.004560171	+0.008829530	+0.000000000	+0.000000000
dep	boundary	semeval	0.966901114	0.936034638	0.004141183	-2.47161919e-05	-0.000839515	-0.001605615	-0.005399687	-0.010435146
dep	boundary	ner	0.970678283	0.943340931	0.004187829	+2.19298172e-05	+0.002937654	+0.005700678	-0.001622517	-0.003128852
