phase	budget	seed	strategy	major	f1_micro	acc	measured_bop	delta_major_vs_uniform	delta_f1_vs_uniform	bop_error_vs_uniform	relative_bop_error_vs_uniform	within_2pct_uniform_bop	probing_minus_major	probing_minus_f1	run_name
pilot	low	20260806	uniform	0.9486950303725705	0.9006923456155017	0.9966977151296394	0.0032442153027602495	0.0	0.0	0.0	0.0	True	-0.010269994974681396	-0.019948387004748325	ptq_oa_w4a4_dualout8_boundaryrefine_w0p055_a0p275_fixedseed20260806_cal16_ms256_dep_e3_retry1
pilot	low	20260806	probing	0.9384250353978891	0.8807439586107534	0.9961061121850249	0.0029974940997882257	-0.010269994974681396	-0.019948387004748325	-0.00024672120297202383	-0.07604957746241688	False	0.0	0.0	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_probing_fixedseed20260806_cal16_dep_e3_retry1
pilot	low	20260806	inverse	0.8832950238413404	0.7732694587597687	0.993320588922912	0.003905204469640863	-0.06540000653123013	-0.127422886855733	0.0006609891668806133	0.2037439273275819	False	0.05513001155654873	0.10747449985098467	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_inverse_fixedseed20260806_cal16_dep_e3_retry1
pilot	low	20260806	early	0.834420890621728	0.6775996431476476	0.9912421380958083	0.0031065547364071897	-0.11427413975084255	-0.22309270246785406	-0.0001376605663530599	-0.04243262345625929	False	0.10400414477616116	0.20314431546310574	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_early_fixedseed20260806_cal16_dep_e3_retry1
pilot	low	20260806	late	0.783575188605291	0.5783559072012874	0.9887944700092945	0.004142512016990983	-0.16511984176727956	-0.32233643841421433	0.0008982967142307338	0.27689183065823136	False	0.15484984679259817	0.302388051409466	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_late_fixedseed20260806_cal16_dep_e3_retry1
pilot	low	20260806	random_s29	0.8077615696352923	0.6253465992497146	0.9901765400208701	0.003951898313913356	-0.1409334607372782	-0.2753457463657871	0.0007076830111531064	0.21813688214558208	False	0.1306634657625968	0.2553973593610388	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_random_s29_fixedseed20260806_cal16_dep_e3_retry1
pilot	low	20260807	uniform	0.9217342531542783	0.848257639061406	0.9952108672471504	0.0031332340163658075	0.0	0.0	0.0	0.0	True	0.01851638267545397	0.03603844473917639	ptq_oa_w4a4_dualout8_boundaryrefine_w0p055_a0p275_fixedseed20260807_cal16_ms256_dep_e3_retry1
pilot	low	20260807	probing	0.9402506358297322	0.8842960838005824	0.996205187858882	0.0029182775296052316	0.01851638267545397	0.03603844473917639	-0.00021495648676057594	-0.06860530864844269	False	0.0	0.0	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_probing_fixedseed20260807_cal16_dep_e3_retry1
pilot	low	20260807	inverse	0.8768844312565574	0.7607397984147177	0.9930290640983971	0.0038027521207829843	-0.04484982189772091	-0.08751784064668833	0.0006695181044171768	0.21368276385360485	False	0.06336620457317488	0.12355628538586472	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_inverse_fixedseed20260807_cal16_dep_e3_retry1
pilot	low	20260807	early	0.8307189581004584	0.6703554396226912	0.9910824765782256	0.003011093701750697	-0.09101529505381989	-0.17790219943871488	-0.00012214031461511062	-0.03898218708757011	False	0.10953167772927386	0.21394064417789127	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_early_fixedseed20260807_cal16_dep_e3_retry1
pilot	low	20260807	late	0.8877665851791766	0.7822104431115451	0.9933227272468081	0.0037055173906204593	-0.033967667975101645	-0.06604719594986097	0.0005722833742546518	0.1826494195024842	False	0.052484050650555614	0.10208564068903736	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_late_fixedseed20260807_cal16_dep_e3_retry1
pilot	low	20260807	random_s29	0.8375625100626074	0.6837873702287097	0.9913376498965051	0.003585707238257467	-0.08417174309167086	-0.16447026883269633	0.00045247322189165967	0.14441092479152795	False	0.10268812576712483	0.20050871357187272	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_random_s29_fixedseed20260807_cal16_dep_e3_retry1
