task	budget	seed	strategy	major	f1_micro	measured_bop	delta_major_vs_uniform	delta_f1_vs_uniform	delta_major_vs_probing	delta_f1_vs_probing	relative_bop_error_vs_uniform_pct	run_name
ner	low	20260806	uniform	0.9623862708287196	0.9319818112921561	0.003915892659244026	0.0	0.0	-0.009469081769644339	-0.017241274168443232	0.0	ptq_pg_w4a4_out8_low_uniform_fixedseed20260806_cal16_ner_e3
ner	low	20260806	probing	0.971855352598364	0.9492230854605993	0.0037984342714230943	0.009469081769644339	0.017241274168443232	0.0	0.0	-2.999530325318156	ptq_pg_w4a4_out8_low_probing_bopfix2_fixedseed20260806_cal16_ner_e3
ner	low	20260806	fisher	0.9562312681977203	0.9207612290877715	0.003918813397446906	-0.006155002630999329	-0.0112205822043846	-0.015624084400643667	-0.028461856372827832	0.07458677898091182	ptq_fisher_w4a4_out8_low_fisher_bopfix2_fixedseed20260806_cal16_ner_e3
ner	low	20260806	probefisher	0.9704252837950651	0.9466089466089466	0.003881785714947634	0.00803901296634546	0.014627135316790496	-0.0014300688032988784	-0.0026141388516527364	-0.8709877227067953	ptq_fisher_w4a4_out8_low_probefisher_bopfix2_fixedseed20260806_cal16_ner_e3
ner	low	20260806	late	0.9737036373200054	0.9525782688766115	0.003793861167078782	0.011317366491285785	0.020596457584455385	0.0018482847216414466	0.003355183416012153	-3.1163135148041254	ptq_pg_w4a4_out8_low_late_bopfix2_fixedseed20260806_cal16_ner_e3
ner	low	20260807	uniform	0.9147154396594239	0.8445271702600693	0.0037153036038463276	0.0	0.0	-0.046192757081239266	-0.08476959352468916	0.0	ptq_pg_w4a4_out8_low_uniform_fixedseed20260807_cal16_ner_e3
ner	low	20260807	probing	0.9609081967406632	0.9292967637847585	0.003568996907471186	0.046192757081239266	0.08476959352468916	0.0	0.0	-3.937947257491292	ptq_pg_w4a4_out8_low_probing_bopfix2_fixedseed20260807_cal16_ner_e3
ner	low	20260807	fisher	0.9246179503011314	0.862790934038012	0.0037613130249719673	0.00990251064170744	0.0182637637779427	-0.036290246439531826	-0.06650582974674646	1.2383758107414877	ptq_fisher_w4a4_out8_low_fisher_bopfix2_fixedseed20260807_cal16_ner_e3
ner	low	20260807	probefisher	0.9539751305677879	0.9166305029172092	0.0036645275632736685	0.03925969090836401	0.07210333265713986	-0.006933066172875257	-0.012666260867549295	-1.3666727133710532	ptq_fisher_w4a4_out8_low_probefisher_bopfix2_fixedseed20260807_cal16_ner_e3
ner	low	20260807	late	0.9720743952942463	0.9496109670248241	0.003623479104468228	0.057358955634822406	0.10508379676475477	0.01116619855358314	0.02031420324006561	-2.4715207468653855	ptq_pg_w4a4_out8_low_late_bopfix2_fixedseed20260807_cal16_ner_e3
