task	budget	strategy	major_mean	major_std	f1_mean	f1_std	paired_delta_major_vs_uniform_mean	paired_delta_f1_vs_uniform_mean	paired_delta_major_vs_probing_mean	paired_delta_f1_vs_probing_mean	major_wins_vs_uniform	major_wins_vs_probing	bop_error_pct_mean	bop_error_pct_max_abs
ner	low	fisher	0.950315116278365	0.017236221398595375	0.9098903285464481	0.03158952365050734	0.0032685004965797015	0.0060123709953684434	-0.01460373545882579	-0.026711085593234457	3	0	0.5985877975352244	1.2383758107414877
ner	low	late	0.9704801734004577	0.004893259310779174	0.9467124503412891	0.008897438920169877	0.023433557618672385	0.0428344927902094	0.005561321663266894	0.0101110362016065	4	3	-3.136749080826609	3.9807734949365625
ner	low	probefisher	0.9618017852011336	0.006731819666348032	0.9309057171179326	0.012266990524809845	0.014755169419348263	0.027027759566852855	-0.003117066536057228	-0.005695697021750046	4	0	-0.820425723098836	1.3666727133710532
ner	low	probing	0.9649188517371907	0.004782239447464095	0.9366014141396827	0.008703101222251229	0.01787223595540549	0.0327234565886029	0.0	0.0	4	0	-3.5180437742211024	3.937947257491292
ner	low	uniform	0.9470466157817853	0.021863942345103457	0.9038779575510798	0.04012868885017491	0.0	0.0	-0.01787223595540549	-0.0327234565886029	0	0	0.0	0.0
ner	boundary	fisher	0.9638940867459709	0.007512455680279955	0.9347137915010589	0.013684798536848007	-0.0010006354233509096	-0.0018268125460009776	-0.004533260899787589	-0.008258240176184178	3	1	0.9492859802614662	1.2707747809223013
ner	boundary	late	0.9747581622320294	0.0006935383203062722	0.9544877584861887	0.0012540880259140793	0.00986344006270759	0.017947154439128837	0.006330814586270911	0.011515726808945637	4	3	-2.8756168435997154	3.2709503566578535
ner	boundary	probefisher	0.9687440436068799	0.004252436276811366	0.9435489442935036	0.007732855675312501	0.003849321437558062	0.007008340246443701	0.00031669596112138265	0.0005769126162604998	4	3	-1.0755868783713067	2.227054691094188
ner	boundary	probing	0.9684273476457586	0.005415820036061215	0.9429720316772431	0.009846905587758106	0.0035326254764366793	0.006431427630183201	0.0	0.0	4	0	-1.8212155667563596	2.6733335391997404
ner	boundary	uniform	0.9648947221693218	0.005302508180754792	0.9365406040470599	0.009646755955354944	0.0	0.0	-0.0035326254764366793	-0.006431427630183201	0	0	0.0	0.0
dep	low	fisher	0.9449573166602918	0.00756567265430668	0.8934275430947198	0.014705332549274652	0.008805627373438624	0.017119618444409956	-0.006445318418695056	-0.01252605261308845	4	1	-0.09571560092841158	0.2992367996877632
dep	low	probefisher	0.9495044758244224	0.0025929170578612715	0.9022684700412815	0.0050369942726934125	0.013352786537569217	0.025960545390971673	-0.0018981592545644632	-0.003685125666526734	4	1	0.058390465716606776	0.5741946008575916
dep	low	probing	0.9514026350789869	0.0004926759303901438	0.9059535957078082	0.000956184962403366	0.01525094579213368	0.029645671057498407	0.0	0.0	4	0	1.0456895443615832	1.5897543232292088
dep	low	uniform	0.9361516892868532	0.011059804746320463	0.8763079246503098	0.02151085013680571	0.0	0.0	-0.01525094579213368	-0.029645671057498407	0	0	0.0	0.0
dep	boundary	fisher	0.9715382149562491	0.0010153934903921464	0.9449886260566727	0.00196842626936647	0.00345698282564047	0.006693361902656653	0.0006342436776282656	0.0012235825534364086	4	2	0.8240150649664796	2.242980767390268
dep	boundary	probefisher	0.9736125301145625	0.0008964565102843584	0.9490118080380558	0.0017348751952654367	0.005531297983953853	0.010716543884039892	0.002708558835941649	0.005246764534819648	4	4	2.8426061277385175	3.2784605538407785
dep	boundary	probing	0.9709039712786209	0.0019382039062242047	0.9437650435032362	0.0037541488904728115	0.0028227391480122044	0.005469779349220244	0.0	0.0	4	0	0.7765550332223398	1.5733551329864204
dep	boundary	uniform	0.9680812321306087	0.0008241316656722609	0.938295264154016	0.0015936557086599268	0.0	0.0	-0.0028227391480122044	-0.005469779349220244	0	0	0.0	0.0
