task	budget	strategy	phase	major	f1_micro	measured_bop	bop_error	relative_bop_error_pct	delta_major_vs_uniform	delta_f1_vs_uniform	delta_major_vs_probing	delta_f1_vs_probing	delta_major_vs_late	min_weight_ratio	min_activation_ratio	weight_floor_ok	activation_floor_ok	run_name
ner	low	uniform	reference	0.9623862708287196	0.9319818112921561	0.003915892659244026	0.0	0.0	0.0	0.0	-0.009469081769644339	-0.017241274168443232	-0.011317366491285785	0.0003125	0.0015625			ptq_pg_w4a4_out8_low_uniform_fixedseed20260806_cal16_ner_e3
ner	low	probing	bopfix2	0.971855352598364	0.9492230854605993	0.0037984342714230943	-0.00011745838782093202	-2.999530325318156	0.009469081769644339	0.017241274168443232	0.0	0.0	-0.0018482847216414466	7.37742494895e-05	0.000368871247447			ptq_pg_w4a4_out8_low_probing_bopfix2_fixedseed20260806_cal16_ner_e3
ner	low	late	bopfix2	0.9737036373200054	0.9525782688766115	0.003793861167078782	-0.0001220314921652442	-3.1163135148041254	0.011317366491285785	0.020596457584455385	0.0018482847216414466	0.003355183416012153	0.0	0.000107356896715	0.000536784483575			ptq_pg_w4a4_out8_low_late_bopfix2_fixedseed20260806_cal16_ner_e3
ner	low	fisher	pilot	0.9574528997372497	0.9229886157084091	0.0039290928604448555	1.3200201200829105e-05	0.33709302959743503	-0.0049333710914699624	-0.008993195583747005	-0.014402452861114301	-0.026234469752190237	-0.016250737582755748	9.30775343322e-05	0.000326692057752	True	True	ptq_fisher_w4a4_out8_low_fisher_fixedseed20260806_cal16_ner_e3
ner	low	fisher	bopfix2	0.9562312681977203	0.9207612290877715	0.003918813397446906	2.9207382028799064e-06	0.07458677898091182	-0.006155002630999329	-0.0112205822043846	-0.015624084400643667	-0.028461856372827832	-0.017472369122285114	9.27652997671e-05	0.000325596148268	True	True	ptq_fisher_w4a4_out8_low_fisher_bopfix2_fixedseed20260806_cal16_ner_e3
ner	low	probefisher	pilot	0.9679590372773984	0.9421333084042255	0.0037402752956093932	-0.00017561736363463313	-4.484733850404787	0.005572766448678768	0.010151497112069419	-0.003896315320965571	-0.007089777056373814	-0.005744600042607018	0.000108236026184	0.00062948903215	True	True	ptq_fisher_w4a4_out8_low_probefisher_fixedseed20260806_cal16_ner_e3
ner	low	probefisher	bopfix2	0.9704252837950651	0.9466089466089466	0.003881785714947634	-3.4106944296392275e-05	-0.8709877227067953	0.00803901296634546	0.014627135316790496	-0.0014300688032988784	-0.0026141388516527364	-0.003278353524940325	0.000113310223976	0.000659000018181	True	True	ptq_fisher_w4a4_out8_low_probefisher_bopfix2_fixedseed20260806_cal16_ner_e3
ner	boundary	uniform	reference	0.9727753646655739	0.9508773554331219	0.0048647628668976595	0.0	0.0	0.0	0.0	-0.0017113492535056896	-0.003106414393510337	-0.0017087808421500927	0.0004375	0.0021875			ptq_pg_w4a4_out8_boundary_uniform_fixedseed20260806_cal16_ner_e3
ner	boundary	probing	bopfix2	0.9744867139190796	0.9539837698266322	0.004860819201666368	-3.943665231291235e-06	-0.08106592940276824	0.0017113492535056896	0.003106414393510337	0.0	0.0	2.5684113555968224e-06	0.000102888685604	0.00051444342802			ptq_pg_w4a4_out8_boundary_probing_bopfix2_fixedseed20260806_cal16_ner_e3
ner	boundary	late	bopfix2	0.974484145507724	0.9539987145349371	0.004723212597598622	-0.00014155026929903777	-2.9097054300882497	0.0017087808421500927	0.003121359101815213	-2.5684113555968224e-06	1.4944708304875931e-05	0.0	0.000147807088956	0.00073903544478			ptq_pg_w4a4_out8_boundary_late_bopfix2_fixedseed20260806_cal16_ner_e3
ner	boundary	fisher	pilot	0.973591466836619	0.9523589482925927	0.004967661446440418	0.0001028985795427581	2.1151818158071656	0.0008161021710451077	0.0014815928594708039	-0.0008952470824605818	-0.0016248215340395333	-0.000892678671104985	0.000130309024746	0.000457370553952	True	True	ptq_fisher_w4a4_out8_boundary_fisher_fixedseed20260806_cal16_ner_e3
ner	boundary	fisher	bopfix2	0.972876132416761	0.951063829787234	0.004889752671791647	2.4989804893987833e-05	0.513690092975172	0.00010076775118705861	0.00018647435411212054	-0.001610581502318631	-0.0029199400393982167	-0.0016080130909630341	0.000127613813852	0.00044791065582	True	True	ptq_fisher_w4a4_out8_boundary_fisher_bopfix2_fixedseed20260806_cal16_ner_e3
ner	boundary	probefisher	pilot	0.9742919048861511	0.9536393352055614	0.004736523505041518	-0.00012823936185614188	-2.6360865958903856	0.0015165402205772338	0.0027619797724395267	-0.00019480903292845575	-0.00034443462107081046	-0.00019224062157285893	0.000151529458257	0.000881278954736	True	True	ptq_fisher_w4a4_out8_boundary_probefisher_fixedseed20260806_cal16_ner_e3
ner	boundary	probefisher	bopfix2	0.9746556286854358	0.9542964974455747	0.004797565516533365	-6.719735036429461e-05	-1.3813078294430348	0.0018802640198618548	0.003419142012452747	0.0001689147663561652	0.00031272761894240997	0.00017148317771176202	0.000155625913002	0.000905103492861	True	True	ptq_fisher_w4a4_out8_boundary_probefisher_bopfix2_fixedseed20260806_cal16_ner_e3
dep	low	uniform	reference	0.9486950303725705	0.9006923456155017	0.0032442153027602495	0.0	0.0	0.0	0.0	-0.0030842658205449958	-0.005992476306969641		0.00055	0.00275			ptq_oa_w4a4_dualout8_boundaryrefine_w0p055_a0p275_fixedseed20260806_cal16_ms256_dep_e3_retry1
