budget	seed	phase	major	f1_micro	measured_bop	run_name
low	20260810	pilot	0.9566280371090439	0.9214945223173707	0.0031865191335397128	ptq_pg_w4a4_out8_low_late_newseed20260810_cal16_ner_e3
low	20260810	bopfix2	0.9723610874304547	0.9501341474697012	0.003689759003450433	ptq_pg_w4a4_out8_low_late_bopfix2_newseed20260810_cal16_ner_e3
low	20260811	pilot	0.9704976183986223	0.9467636565815688	0.0031742057887945803	ptq_pg_w4a4_out8_low_late_newseed20260811_cal16_ner_e3
low	20260811	bopfix2	0.9746424597499077	0.9542802003400267	0.003731585973573561	ptq_pg_w4a4_out8_low_late_bopfix2_newseed20260811_cal16_ner_e3
low	20260812	pilot	0.9672339646332531	0.9408187134502924	0.0034376068506230886	ptq_pg_w4a4_out8_low_late_newseed20260812_cal16_ner_e3
low	20260812	bopfix2	0.9717315937808865	0.9489956493566601	0.003804221581142873	ptq_pg_w4a4_out8_low_late_bopfix2_newseed20260812_cal16_ner_e3
low	20260813	pilot	0.9720080355766241	0.9495033495033495	0.003341937990391255	ptq_pg_w4a4_out8_low_late_newseed20260813_cal16_ner_e3
low	20260813	bopfix2	0.9734215436796474	0.952074326188943	0.003771176473467894	ptq_pg_w4a4_out8_low_late_bopfix2_newseed20260813_cal16_ner_e3
boundary	20260810	pilot	0.9757118057202158	0.9562230973532375	0.004102714493407515	ptq_pg_w4a4_out8_boundary_late_newseed20260810_cal16_ner_e3
boundary	20260810	bopfix2	0.9762318709513542	0.9571728609259428	0.004667555062155239	ptq_pg_w4a4_out8_boundary_late_bopfix2_newseed20260810_cal16_ner_e3
boundary	20260811	pilot	0.9760707182231336	0.9568756573832716	0.004217761635604083	ptq_pg_w4a4_out8_boundary_late_newseed20260811_cal16_ner_e3
boundary	20260811	bopfix2	0.9765424394182391	0.9577387736494187	0.004715616569663013	ptq_pg_w4a4_out8_boundary_late_bopfix2_newseed20260811_cal16_ner_e3
boundary	20260812	pilot	0.9756635888471766	0.9561266636071593	0.004632662972187922	ptq_pg_w4a4_out8_boundary_late_newseed20260812_cal16_ner_e3
boundary	20260812	bopfix2	0.9758303246126991	0.9564300128416804	0.004814356847057048	ptq_pg_w4a4_out8_boundary_late_bopfix2_newseed20260812_cal16_ner_e3
boundary	20260813	pilot	0.9753621876056581	0.9555841057171699	0.004380576914211094	ptq_pg_w4a4_out8_boundary_late_newseed20260813_cal16_ner_e3
boundary	20260813	bopfix2	0.9757894488130474	0.9563583020078849	0.004759898791847288	ptq_pg_w4a4_out8_boundary_late_bopfix2_newseed20260813_cal16_ner_e3
