budget	strategy	seed_count	mean_major	std_major	mean_f1_micro	std_f1_micro	mean_delta_major_vs_uniform	std_delta_major_vs_uniform	mean_delta_f1_vs_uniform	std_delta_f1_vs_uniform	wins_vs_uniform	mean_measured_bop	max_abs_bop_error_vs_uniform
low	uniform	4	0.9470466157817853	0.021863942345103457	0.9038779575510798	0.04012868885017491	0.0	0.0	0.0	0.0	0	0.003916369187481875	0.0
low	probing	4	0.9649188517371907	0.004782239447464095	0.9366014141396827	0.008703101222251229	0.01787223595540549	0.018995113073668583	0.0327234565886029	0.034904860859276486	4	0.0037788282680514345	0.00015196051666054944
low	inverse	4	0.8131648201659422	0.06539614440732933	0.6545040283472267	0.12364841265483831	-0.1338817956158431	0.04685570956615504	-0.24937392920385315	0.0894431120613803	0	0.004006470324906274	0.000160954448741014
low	early	4	0.8663044232122081	0.020476764935773918	0.7546244798963122	0.038240800118287545	-0.08074219256957707	0.017518398453279092	-0.14925347765476749	0.03231225733303777	0	0.0040288478541855716	0.0001561536527370398
low	late	4	0.9704801734004577	0.004893259310779174	0.9467124503412891	0.008897438920169877	0.023433557618672385	0.02273338539811659	0.0428344927902094	0.04170840323274563	4	0.00379291110808528	0.00016156939137949595
low	random_s29	4	0.9358864891223223	0.009985632033651874	0.8834918066881252	0.018347284039053516	-0.011160126659462921	0.021611487439779194	-0.02038615086295459	0.03969914531877534	1	0.0037802351465853496	0.00013856201911071004
boundary	uniform	4	0.9648947221693218	0.005302508180754792	0.9365406040470599	0.009646755955354944	0.0	0.0	0.0	0.0	0	0.004853849514540402	0.0
boundary	probing	4	0.9684273476457586	0.005415820036061215	0.9429720316772431	0.009846905587758106	0.0035326254764366793	0.00320604104966106	0.006431427630183201	0.005835743920777602	4	0.00476568905216089	0.0001277954376994444
boundary	inverse	4	0.8823553011100245	0.018553969202492738	0.7845122468974393	0.0345204349503473	-0.08253942105929732	0.020159568207808183	-0.15202835714962065	0.037409871777539516	0	0.0049420962494985754	0.00012303060885599394
boundary	early	4	0.916913780495913	0.026116713816622245	0.8484883337291396	0.04815993957544652	-0.04798094167340883	0.02911242605727723	-0.08805227031792037	0.05359590276002817	0	0.004977401804180749	0.00015251823552000013
boundary	late	4	0.9747581622320294	0.0006935383203062722	0.9544877584861887	0.0012540880259140793	0.00986344006270759	0.005494113364277236	0.017947154439128837	0.009988466256352956	4	0.004713718214769867	0.00016484905485779182
boundary	random_s29	4	0.9672114682300095	0.0051628480979504145	0.9407661900696742	0.009394173269447097	0.0023167460606876855	0.007246273565793548	0.004225586022614275	0.013178578432674996	2	0.004788436718585594	7.861468081187331e-05
