target	budget	strategy	major	f1_micro	measured_bop	delta_major_vs_uniform	delta_f1_vs_uniform
semeval	low	uniform	0.857664929	0.741347905	0.005373380	+0.000000000	+0.000000000
semeval	low	probing	0.866604317	0.758035714	0.005374747	+0.008939388	+0.016687809
semeval	low	inverse	0.851141851	0.728805621	0.005360664	-0.006523078	-0.012542285
semeval	low	early	0.855660307	0.737934145	0.005363741	-0.002004622	-0.003413760
semeval	low	late	0.850785937	0.728689276	0.005371900	-0.006878992	-0.012658629
semeval	low	random_s29	0.861083883	0.747865169	0.005357108	+0.003418954	+0.006517263
semeval	boundary	uniform	0.872633263	0.768673608	0.011670877	+0.000000000	+0.000000000
semeval	boundary	probing	0.874232160	0.771596563	0.011668866	+0.001598897	+0.002922955
semeval	boundary	inverse	0.850739064	0.728366497	0.011655260	-0.021894200	-0.040307111
semeval	boundary	early	0.875439525	0.773873874	0.011662023	+0.002806262	+0.005200266
semeval	boundary	late	0.871545415	0.766726944	0.011668830	-0.001087848	-0.001946664
semeval	boundary	random_s29	0.872489256	0.768248175	0.011705237	-0.000144007	-0.000425433
ner	low	uniform	0.962386271	0.931981811	0.003915893	+0.000000000	+0.000000000
ner	low	probing	0.971855353	0.949223085	0.003798434	+0.009469082	+0.017241274
ner	low	inverse	0.829244986	0.685248612	0.003999595	-0.133141285	-0.246733199
ner	low	early	0.856491147	0.736347156	0.004016295	-0.105895123	-0.195634655
ner	low	late	0.973703637	0.952578269	0.003793861	+0.011317366	+0.020596458
ner	low	random_s29	0.946181511	0.902393747	0.003777331	-0.016204760	-0.029588064
ner	boundary	uniform	0.972775365	0.950877355	0.004864763	+0.000000000	+0.000000000
ner	boundary	probing	0.974486714	0.953983770	0.004860819	+0.001711349	+0.003106414
ner	boundary	inverse	0.881289642	0.782575468	0.004937256	-0.091485723	-0.168301887
ner	boundary	early	0.901379563	0.819898713	0.004936191	-0.071395802	-0.130978643
ner	boundary	late	0.974484146	0.953998715	0.004723213	+0.001708781	+0.003121359
ner	boundary	random_s29	0.968220135	0.942610320	0.004820946	-0.004555230	-0.008267036
dep	low	uniform	0.948695030	0.900692346	0.003244215	+0.000000000	+0.000000000
dep	low	probing	0.951779296	0.906684822	0.003293662	+0.003084266	+0.005992476
dep	low	inverse	0.428291222	0.033591470	0.004218268	-0.520403809	-0.867100876
dep	low	early	0.868528992	0.744391722	0.003229658	-0.080166038	-0.156300623
dep	low	late	0.489068151	0.038856859	0.008501631	-0.459626880	-0.861835486
dep	low	random_s29	0.452331126	0.029832606	0.006535162	-0.496363904	-0.870859740
dep	boundary	uniform	0.967740629	0.937640253	0.004165899	+0.000000000	+0.000000000
dep	boundary	probing	0.972300800	0.946469783	0.004231443	+0.004560171	+0.008829530
dep	boundary	inverse	0.940172340	0.884121673	0.004300940	-0.027568289	-0.053518579
dep	boundary	early	0.954544916	0.912030027	0.004195475	-0.013195713	-0.025610226
dep	boundary	late	0.954094130	0.911211138	0.004216117	-0.013646499	-0.026429115
dep	boundary	random_s29	0.962716300	0.927890246	0.004156576	-0.005024330	-0.009750007
