budget	strategy	scale	target_bop	run_name	status	log
low	probing	1.03482389149	0.00537337958445	ptq_pg_w4a4_out8_low_probing_bopfix2_fixedseed20260806_cal16_semeval_e10	completed	/root/autodl-tmp/master-gra/my_project/base_exp/exp_edge/local_logs/semeval_w4a4_probe_guided_out8_bopfix2_fixedseed_20260806_bopfix2_fixedseed1/low_probing.log
low	inverse	0.926003849424	0.00537337958445	ptq_pg_w4a4_out8_low_inverse_bopfix2_fixedseed20260806_cal16_semeval_e10	completed	/root/autodl-tmp/master-gra/my_project/base_exp/exp_edge/local_logs/semeval_w4a4_probe_guided_out8_bopfix2_fixedseed_20260806_bopfix2_fixedseed1/low_inverse.log
low	early	0.95607751691	0.00537337958445	ptq_pg_w4a4_out8_low_early_bopfix2_fixedseed20260806_cal16_semeval_e10	completed	/root/autodl-tmp/master-gra/my_project/base_exp/exp_edge/local_logs/semeval_w4a4_probe_guided_out8_bopfix2_fixedseed_20260806_bopfix2_fixedseed1/low_early.log
low	late	1.00267977973	0.00537337958445	ptq_pg_w4a4_out8_low_late_bopfix2_fixedseed20260806_cal16_semeval_e10	completed	/root/autodl-tmp/master-gra/my_project/base_exp/exp_edge/local_logs/semeval_w4a4_probe_guided_out8_bopfix2_fixedseed_20260806_bopfix2_fixedseed1/low_late.log
low	random_s17	1.14218882694	0.00537337958445	ptq_pg_w4a4_out8_low_random_s17_bopfix2_fixedseed20260806_cal16_semeval_e10	completed	/root/autodl-tmp/master-gra/my_project/base_exp/exp_edge/local_logs/semeval_w4a4_probe_guided_out8_bopfix2_fixedseed_20260806_bopfix2_fixedseed1/low_random_s17.log
low	random_s29	0.971966031971	0.00537337958445	ptq_pg_w4a4_out8_low_random_s29_bopfix2_fixedseed20260806_cal16_semeval_e10	completed	/root/autodl-tmp/master-gra/my_project/base_exp/exp_edge/local_logs/semeval_w4a4_probe_guided_out8_bopfix2_fixedseed_20260806_bopfix2_fixedseed1/low_random_s29.log
low	random_s43	0.948176641988	0.00537337958445	ptq_pg_w4a4_out8_low_random_s43_bopfix2_fixedseed20260806_cal16_semeval_e10	completed	/root/autodl-tmp/master-gra/my_project/base_exp/exp_edge/local_logs/semeval_w4a4_probe_guided_out8_bopfix2_fixedseed_20260806_bopfix2_fixedseed1/low_random_s43.log
boundary	probing	1.01739726935	0.0116708767393	ptq_pg_w4a4_out8_boundary_probing_bopfix2_fixedseed20260806_cal16_semeval_e10	completed	/root/autodl-tmp/master-gra/my_project/base_exp/exp_edge/local_logs/semeval_w4a4_probe_guided_out8_bopfix2_fixedseed_20260806_bopfix2_fixedseed1/boundary_probing.log
boundary	inverse	0.983218014919	0.0116708767393	ptq_pg_w4a4_out8_boundary_inverse_bopfix2_fixedseed20260806_cal16_semeval_e10	completed	/root/autodl-tmp/master-gra/my_project/base_exp/exp_edge/local_logs/semeval_w4a4_probe_guided_out8_bopfix2_fixedseed_20260806_bopfix2_fixedseed1/boundary_inverse.log
boundary	early	0.981836094111	0.0116708767393	ptq_pg_w4a4_out8_boundary_early_bopfix2_fixedseed20260806_cal16_semeval_e10	completed	/root/autodl-tmp/master-gra/my_project/base_exp/exp_edge/local_logs/semeval_w4a4_probe_guided_out8_bopfix2_fixedseed_20260806_bopfix2_fixedseed1/boundary_early.log
boundary	late	1.01630717283	0.0116708767393	ptq_pg_w4a4_out8_boundary_late_bopfix2_fixedseed20260806_cal16_semeval_e10	completed	/root/autodl-tmp/master-gra/my_project/base_exp/exp_edge/local_logs/semeval_w4a4_probe_guided_out8_bopfix2_fixedseed_20260806_bopfix2_fixedseed1/boundary_late.log
boundary	random_s17	1.09537049305	0.0116708767393	ptq_pg_w4a4_out8_boundary_random_s17_bopfix2_fixedseed20260806_cal16_semeval_e10	completed	/root/autodl-tmp/master-gra/my_project/base_exp/exp_edge/local_logs/semeval_w4a4_probe_guided_out8_bopfix2_fixedseed_20260806_bopfix2_fixedseed1/boundary_random_s17.log
boundary	random_s29	0.987172107382	0.0116708767393	ptq_pg_w4a4_out8_boundary_random_s29_bopfix2_fixedseed20260806_cal16_semeval_e10	completed	/root/autodl-tmp/master-gra/my_project/base_exp/exp_edge/local_logs/semeval_w4a4_probe_guided_out8_bopfix2_fixedseed_20260806_bopfix2_fixedseed1/boundary_random_s29.log
boundary	random_s43	0.991245468814	0.0116708767393	ptq_pg_w4a4_out8_boundary_random_s43_bopfix2_fixedseed20260806_cal16_semeval_e10	completed	/root/autodl-tmp/master-gra/my_project/base_exp/exp_edge/local_logs/semeval_w4a4_probe_guided_out8_bopfix2_fixedseed_20260806_bopfix2_fixedseed1/boundary_random_s43.log
