budget	strategy	run_name	status	log
low	uniform	ptq_pg_w4a4_out8_low_uniform_fixedseed20260806_cal16_semeval_e10	completed	/root/autodl-tmp/master-gra/my_project/base_exp/exp_edge/local_logs/semeval_w4a4_probe_guided_out8_fixedseed_20260806_fixedseed1/low_uniform.log
low	probing	ptq_pg_w4a4_out8_low_probing_fixedseed20260806_cal16_semeval_e10	completed	/root/autodl-tmp/master-gra/my_project/base_exp/exp_edge/local_logs/semeval_w4a4_probe_guided_out8_fixedseed_20260806_fixedseed1/low_probing.log
low	inverse	ptq_pg_w4a4_out8_low_inverse_fixedseed20260806_cal16_semeval_e10	completed	/root/autodl-tmp/master-gra/my_project/base_exp/exp_edge/local_logs/semeval_w4a4_probe_guided_out8_fixedseed_20260806_fixedseed1/low_inverse.log
low	early	ptq_pg_w4a4_out8_low_early_fixedseed20260806_cal16_semeval_e10	completed	/root/autodl-tmp/master-gra/my_project/base_exp/exp_edge/local_logs/semeval_w4a4_probe_guided_out8_fixedseed_20260806_fixedseed1/low_early.log
low	late	ptq_pg_w4a4_out8_low_late_fixedseed20260806_cal16_semeval_e10	completed	/root/autodl-tmp/master-gra/my_project/base_exp/exp_edge/local_logs/semeval_w4a4_probe_guided_out8_fixedseed_20260806_fixedseed1/low_late.log
low	random_s17	ptq_pg_w4a4_out8_low_random_s17_fixedseed20260806_cal16_semeval_e10	completed	/root/autodl-tmp/master-gra/my_project/base_exp/exp_edge/local_logs/semeval_w4a4_probe_guided_out8_fixedseed_20260806_fixedseed1/low_random_s17.log
low	random_s29	ptq_pg_w4a4_out8_low_random_s29_fixedseed20260806_cal16_semeval_e10	completed	/root/autodl-tmp/master-gra/my_project/base_exp/exp_edge/local_logs/semeval_w4a4_probe_guided_out8_fixedseed_20260806_fixedseed1/low_random_s29.log
low	random_s43	ptq_pg_w4a4_out8_low_random_s43_fixedseed20260806_cal16_semeval_e10	completed	/root/autodl-tmp/master-gra/my_project/base_exp/exp_edge/local_logs/semeval_w4a4_probe_guided_out8_fixedseed_20260806_fixedseed1/low_random_s43.log
boundary	uniform	ptq_pg_w4a4_out8_boundary_uniform_fixedseed20260806_cal16_semeval_e10	completed	/root/autodl-tmp/master-gra/my_project/base_exp/exp_edge/local_logs/semeval_w4a4_probe_guided_out8_fixedseed_20260806_fixedseed1/boundary_uniform.log
boundary	probing	ptq_pg_w4a4_out8_boundary_probing_fixedseed20260806_cal16_semeval_e10	completed	/root/autodl-tmp/master-gra/my_project/base_exp/exp_edge/local_logs/semeval_w4a4_probe_guided_out8_fixedseed_20260806_fixedseed1/boundary_probing.log
boundary	inverse	ptq_pg_w4a4_out8_boundary_inverse_fixedseed20260806_cal16_semeval_e10	completed	/root/autodl-tmp/master-gra/my_project/base_exp/exp_edge/local_logs/semeval_w4a4_probe_guided_out8_fixedseed_20260806_fixedseed1/boundary_inverse.log
boundary	early	ptq_pg_w4a4_out8_boundary_early_fixedseed20260806_cal16_semeval_e10	completed	/root/autodl-tmp/master-gra/my_project/base_exp/exp_edge/local_logs/semeval_w4a4_probe_guided_out8_fixedseed_20260806_fixedseed1/boundary_early.log
boundary	late	ptq_pg_w4a4_out8_boundary_late_fixedseed20260806_cal16_semeval_e10	completed	/root/autodl-tmp/master-gra/my_project/base_exp/exp_edge/local_logs/semeval_w4a4_probe_guided_out8_fixedseed_20260806_fixedseed1/boundary_late.log
boundary	random_s17	ptq_pg_w4a4_out8_boundary_random_s17_fixedseed20260806_cal16_semeval_e10	completed	/root/autodl-tmp/master-gra/my_project/base_exp/exp_edge/local_logs/semeval_w4a4_probe_guided_out8_fixedseed_20260806_fixedseed1/boundary_random_s17.log
boundary	random_s29	ptq_pg_w4a4_out8_boundary_random_s29_fixedseed20260806_cal16_semeval_e10	completed	/root/autodl-tmp/master-gra/my_project/base_exp/exp_edge/local_logs/semeval_w4a4_probe_guided_out8_fixedseed_20260806_fixedseed1/boundary_random_s29.log
boundary	random_s43	ptq_pg_w4a4_out8_boundary_random_s43_fixedseed20260806_cal16_semeval_e10	completed	/root/autodl-tmp/master-gra/my_project/base_exp/exp_edge/local_logs/semeval_w4a4_probe_guided_out8_fixedseed_20260806_fixedseed1/boundary_random_s43.log
