layer	side	fisher_score	major	f1_micro	major_drop	f1_drop	run_name
0	weight	0.0004852048928620625	0.8777121219061579	0.7777777777777778	0.005888140109064688	0.010814345354861366	ptq_fisher_stage1_weight_layer00_seed20260806_semeval_e10
0	activation	0.3850505386334389	0.8799084036999594	0.781941309255079	0.0036918583152631967	0.006650813877560169	ptq_fisher_stage1_activation_layer00_seed20260806_semeval_e10
3	weight	0.000247528373848082	0.8807073356840667	0.783355947535052	0.0028929263311558984	0.005236175597587156	ptq_fisher_stage1_weight_layer03_seed20260806_semeval_e10
3	activation	0.3029864586496891	0.872253020288607	0.7680505415162455	0.011347241726615609	0.020541581616393634	ptq_fisher_stage1_activation_layer03_seed20260806_semeval_e10
7	weight	0.00041347980010166685	0.8789138563185926	0.7801354401805869	0.004686405696629925	0.008456682952052264	ptq_fisher_stage1_weight_layer07_seed20260806_semeval_e10
7	activation	0.3248223923847074	0.8751474291228004	0.7733812949640287	0.008452832892422157	0.015210828168610413	ptq_fisher_stage1_activation_layer07_seed20260806_semeval_e10
11	weight	0.0004889774564140202	0.8599029101400232	0.7457322551662174	0.02369735187519939	0.042859867966421716	ptq_fisher_stage1_weight_layer11_seed20260806_semeval_e10
11	activation	0.27692375534105657	0.5948071253810823	0.26542387927208166	0.2887931366341403	0.5231682438605575	ptq_fisher_stage1_activation_layer11_seed20260806_semeval_e10
15	weight	0.0004470561846232899	0.8478196934320279	0.7231690465223399	0.03578056858319467	0.06542307661029922	ptq_fisher_stage1_weight_layer15_seed20260806_semeval_e10
15	activation	0.26262495175745887	0.8407305057593732	0.7105022831050228	0.04286975625584932	0.07808984002761632	ptq_fisher_stage1_activation_layer15_seed20260806_semeval_e10
19	weight	0.00048112868342612834	0.8677966342540081	0.7591377694470478	0.015803627761214467	0.02945435368559135	ptq_fisher_stage1_weight_layer19_seed20260806_semeval_e10
19	activation	0.12665229314135096	0.8742109082173131	0.7705463182897863	0.009389353797909505	0.018045804842852897	ptq_fisher_stage1_activation_layer19_seed20260806_semeval_e10
23	weight	0.0004051853887362322	0.8782817608819125	0.7780925401322002	0.005318501133310116	0.010499583000438961	ptq_fisher_stage1_weight_layer23_seed20260806_semeval_e10
23	activation	0.020539553830085624	0.879868077504466	0.7824561403508772	0.00373218451075652	0.006135982781761973	ptq_fisher_stage1_activation_layer23_seed20260806_semeval_e10
