budget	strategy	phase	major	measured_bop	delta_major_vs_uniform	bop_error_vs_uniform	weight_actual_ratio	activation_actual_ratio	run_name
low	uniform	fixedseed_nominal	0.8576649287760199	0.005373379584446197	0.0	0.0	0.0010000864664713542	0.004252487951033216	ptq_pg_w4a4_out8_low_uniform_fixedseed20260806_cal16_semeval_e10
low	probing	fixedseed_bopfix2	0.8666043167644961	0.005374746726291455	0.008939387988476266	1.3671418452572762e-06	0.00103453795115153	0.00419264013852519	ptq_pg_w4a4_out8_low_probing_bopfix2_fixedseed20260806_cal16_semeval_e10
low	inverse	fixedseed_bopfix2	0.8511418511179717	0.005360663761497871	-0.00652307765804816	-1.271582294832662e-05	0.0009255806605021158	0.004424735569061877	ptq_pg_w4a4_out8_low_inverse_bopfix2_fixedseed20260806_cal16_semeval_e10
low	early	fixedseed_bopfix2	0.8556603070121203	0.005363741421027479	-0.0020046217638995945	-9.638163418717975e-06	0.0009558531973097059	0.004364013359967536	ptq_pg_w4a4_out8_low_early_bopfix2_fixedseed20260806_cal16_semeval_e10
low	late	fixedseed_bopfix2	0.8507859370169674	0.005371900423397003	-0.0068789917590524885	-1.4791610491943566e-06	0.0010023978021409777	0.0042018912819202425	ptq_pg_w4a4_out8_low_late_bopfix2_fixedseed20260806_cal16_semeval_e10
low	random_s17	fixedseed_bopfix2	0.8204318175867227	0.005382741910184089	-0.037233111189297174	9.36232573789126e-06	0.0011416077613830566	0.0038818021171337373	ptq_pg_w4a4_out8_low_random_s17_bopfix2_fixedseed20260806_cal16_semeval_e10
low	random_s29	fixedseed_bopfix2	0.8610838828817283	0.005357108167182574	0.0034189541057084716	-1.6271417263622953e-05	0.0009717212782965766	0.00432252745989551	ptq_pg_w4a4_out8_low_random_s29_bopfix2_fixedseed20260806_cal16_semeval_e10
low	random_s43	fixedseed_bopfix2	0.8564451661292981	0.005333912411127678	-0.0012197626467217448	-3.9467173318519753e-05	0.0009478794203864203	0.004340245979211693	ptq_pg_w4a4_out8_low_random_s43_bopfix2_fixedseed20260806_cal16_semeval_e10
boundary	uniform	fixedseed_nominal	0.8726332631472777	0.011670876739264938	0.0	0.0	0.0024998982747395835	0.009083021592987642	ptq_pg_w4a4_out8_boundary_uniform_fixedseed20260806_cal16_semeval_e10
boundary	probing	fixedseed_bopfix2	0.8742321597504252	0.011668866468760466	0.0015988966031474927	-2.010270504471459e-06	0.0025418533219231498	0.008918775601057546	ptq_pg_w4a4_out8_boundary_probing_bopfix2_fixedseed20260806_cal16_semeval_e10
boundary	inverse	fixedseed_bopfix2	0.8507390636213472	0.011655259562457661	-0.021894199525930524	-1.5617176807276173e-05	0.002455552419026693	0.009151046755460936	ptq_pg_w4a4_out8_boundary_inverse_bopfix2_fixedseed20260806_cal16_semeval_e10
boundary	early	fixedseed_bopfix2	0.8754395249997833	0.011662023274739124	0.0028062618525055427	-8.853464525813287e-06	0.002452890078226725	0.009220951424327207	ptq_pg_w4a4_out8_boundary_early_bopfix2_fixedseed20260806_cal16_semeval_e10
boundary	late	fixedseed_bopfix2	0.8715454150794907	0.011668829570707284	-0.0010878480677870561	-2.0471685576537585e-06	0.00253903865814209	0.008834537648552254	ptq_pg_w4a4_out8_boundary_late_bopfix2_fixedseed20260806_cal16_semeval_e10
boundary	random_s17	fixedseed_bopfix2	0.8598262712894442	0.012116483776324393	-0.012806991857833516	0.0004456070370594551	0.002735263771480984	0.008981805509509696	ptq_pg_w4a4_out8_boundary_random_s17_bopfix2_fixedseed20260806_cal16_semeval_e10
boundary	random_s29	fixedseed_bopfix2	0.8724892563879062	0.011705236952609192	-0.00014400675937153995	3.436021334425436e-05	0.0024665859010484484	0.009137994915646524	ptq_pg_w4a4_out8_boundary_random_s29_bopfix2_fixedseed20260806_cal16_semeval_e10
boundary	random_s43	fixedseed_bopfix2	0.8650728972346589	0.011635853134522966	-0.007560365912618883	-3.502360474197212e-05	0.0024762683444552952	0.009065977657537687	ptq_pg_w4a4_out8_boundary_random_s43_bopfix2_fixedseed20260806_cal16_semeval_e10
