run_name	major	acc	f1_micro	weight_target	activation_target	weight_actual	activation_actual	bop_overhead
ptq_oa_w4a4_aout16_r0p5_ms256_semeval_e10	0.474002238	0.911914250	0.036090226	0	0.005	0	0.004766230	0.013930647
ptq_oa_w4a4_aout16_r1_ms256_semeval_e10	0.475412235	0.902523934	0.048300537	0	0.01	0	0.009482834	0.027746286
ptq_oa_w4a4_aout16_r2_ms256_semeval_e10	0.472251930	0.895378132	0.049125729	0	0.02	0	0.019159459	0.056239751
ptq_oa_w4a4_aout16_r4_ms256_semeval_e10	0.473546791	0.894462004	0.052631579	0	0.04	0	0.038694013	0.114240200
ptq_oa_w4a4_aout16_r6_ms256_semeval_e10	0.471983477	0.894462004	0.049504950	0	0.06	0	0.058601682	0.173812440
ptq_oa_w4a4_dualout16_w0p1_a2_ms256_semeval_e10	0.875900426	0.977371628	0.774429224	0.001	0.02	0.001000086	0.019692144	0.061851232
ptq_oa_w4a4_dualout16_w0p1_a4_ms256_semeval_e10	0.878216883	0.977600660	0.778833107	0.001	0.04	0.001000086	0.039794136	0.122681651
ptq_oa_w4a4_dualout16_w2_a2_ms256_semeval_e10	0.878612667	0.977921305	0.779304029	0.02	0.02	0.020000140	0.019643744	0.121784914
ptq_oa_w4a4_dualout16_w2_a4_ms256_semeval_e10	0.880924700	0.978287756	0.783561644	0.02	0.04	0.020000140	0.039705465	0.185556868
ptq_oa_w4a4_wout16_r0_ms256_semeval_e10	0.473684211	0.947368421	0.000000000	0	0	0	0	0
ptq_oa_w4a4_wout16_r0p25_ms256_semeval_e10	0.122646075	0.146443131	0.098849018	0.0025	0	0.002499898	0	0.007499695
ptq_oa_w4a4_wout16_r0p5_ms256_semeval_e10	0.170431382	0.241537264	0.099325500	0.005	0	0.005000114	0	0.015000343
ptq_oa_w4a4_wout16_r1_ms256_semeval_e10	0.197462324	0.291878521	0.103046127	0.01	0	0.010000070	0	0.030000210
ptq_oa_w4a4_wout16_r2_ms256_semeval_e10	0.468663942	0.809445284	0.127882600	0.02	0	0.020000140	0	0.060000420
ptq_oa_w4a4_wout16_r4_ms256_semeval_e10	0.226329260	0.344281068	0.108377453	0.04	0	0.039999962	0	0.119999886
ptq_oa_w4a8_wout16_r0_ms256_semeval_e10	0.474155268	0.900233613	0.048076923	0	0	0	0	0
ptq_oa_w4a8_wout16_r0p1_ms256_semeval_e10	0.877112868	0.977509047	0.776716689	0.001	0	0.001000086	0	0.003000259
ptq_oa_w4a8_wout16_r0p25_ms256_semeval_e10	0.876819872	0.977371628	0.776268116	0.0025	0	0.002499898	0	0.007499695
ptq_oa_w4a8_wout16_r0p5_ms256_semeval_e10	0.874678544	0.977234208	0.772122879	0.005	0	0.005000114	0	0.015000343
ptq_oa_w4a8_wout16_r1_ms256_semeval_e10	0.874564570	0.977280015	0.771849126	0.01	0	0.010000070	0	0.030000210
ptq_oa_w4a8_wout16_r2_ms256_semeval_e10	0.879513191	0.977875498	0.781150884	0.02	0	0.020000140	0	0.060000420
ptq_oa_w4a8_wout16_r4_ms256_semeval_e10	0.874713588	0.977050983	0.772376193	0.04	0	0.039999962	0	0.119999886
ptq_oa_w8a4_aout16_r0_ms256_semeval_e10	0.262754898	0.421831341	0.103678455	0	0	0	0	0
ptq_oa_w8a4_aout16_r0p5_ms256_semeval_e10	0.869960595	0.976318080	0.763603109	0	0.005	0	0.004708761	0.013768438
ptq_oa_w8a4_aout16_r1_ms256_semeval_e10	0.873964040	0.977142595	0.770785485	0	0.01	0	0.009686354	0.028628836
ptq_oa_w8a4_aout16_r2_ms256_semeval_e10	0.876803021	0.977554853	0.776051188	0	0.02	0	0.019719583	0.058790960
ptq_oa_w8a4_aout16_r4_ms256_semeval_e10	0.881032031	0.978379369	0.783684693	0	0.04	0	0.039823172	0.119367145
ptq_oa_w8a4_aout16_r6_ms256_semeval_e10	0.879216889	0.978012917	0.780420860	0	0.06	0	0.060008522	0.180128866
