task,layer,major,baseline_run,baseline_major,peak_layer,peak_major
ner,0,0.90878071,formal_e3_ms256_tner,0.97869614,16,0.96353620
ner,1,0.92290265,formal_e3_ms256_tner,0.97869614,16,0.96353620
ner,2,0.92699197,formal_e3_ms256_tner,0.97869614,16,0.96353620
ner,3,0.93115265,formal_e3_ms256_tner,0.97869614,16,0.96353620
ner,4,0.93458764,formal_e3_ms256_tner,0.97869614,16,0.96353620
ner,5,0.93980737,formal_e3_ms256_tner,0.97869614,16,0.96353620
ner,6,0.94624577,formal_e3_ms256_tner,0.97869614,16,0.96353620
ner,7,0.95192363,formal_e3_ms256_tner,0.97869614,16,0.96353620
ner,8,0.95239446,formal_e3_ms256_tner,0.97869614,16,0.96353620
ner,9,0.95298488,formal_e3_ms256_tner,0.97869614,16,0.96353620
ner,10,0.95384821,formal_e3_ms256_tner,0.97869614,16,0.96353620
ner,11,0.95867913,formal_e3_ms256_tner,0.97869614,16,0.96353620
ner,12,0.95736061,formal_e3_ms256_tner,0.97869614,16,0.96353620
ner,13,0.95927076,formal_e3_ms256_tner,0.97869614,16,0.96353620
ner,14,0.96022024,formal_e3_ms256_tner,0.97869614,16,0.96353620
ner,15,0.96122009,formal_e3_ms256_tner,0.97869614,16,0.96353620
ner,16,0.96353620,formal_e3_ms256_tner,0.97869614,16,0.96353620
ner,17,0.96137365,formal_e3_ms256_tner,0.97869614,16,0.96353620
ner,18,0.96138491,formal_e3_ms256_tner,0.97869614,16,0.96353620
ner,19,0.96183413,formal_e3_ms256_tner,0.97869614,16,0.96353620
ner,20,0.96175760,formal_e3_ms256_tner,0.97869614,16,0.96353620
ner,21,0.95800095,formal_e3_ms256_tner,0.97869614,16,0.96353620
ner,22,0.95553933,formal_e3_ms256_tner,0.97869614,16,0.96353620
ner,23,0.95115276,formal_e3_ms256_tner,0.97869614,16,0.96353620
ner,24,0.93438398,formal_e3_ms256_tner,0.97869614,16,0.96353620
dep,0,0.84694862,formal_e3_ms256_retry1,0.97829026,13,0.94301368
dep,1,0.87398855,formal_e3_ms256_retry1,0.97829026,13,0.94301368
dep,2,0.88085309,formal_e3_ms256_retry1,0.97829026,13,0.94301368
dep,3,0.88364192,formal_e3_ms256_retry1,0.97829026,13,0.94301368
dep,4,0.89638168,formal_e3_ms256_retry1,0.97829026,13,0.94301368
dep,5,0.90407800,formal_e3_ms256_retry1,0.97829026,13,0.94301368
dep,6,0.90626513,formal_e3_ms256_retry1,0.97829026,13,0.94301368
dep,7,0.90876967,formal_e3_ms256_retry1,0.97829026,13,0.94301368
dep,8,0.90749995,formal_e3_ms256_retry1,0.97829026,13,0.94301368
dep,9,0.91088693,formal_e3_ms256_retry1,0.97829026,13,0.94301368
dep,10,0.91962213,formal_e3_ms256_retry1,0.97829026,13,0.94301368
dep,11,0.93240864,formal_e3_ms256_retry1,0.97829026,13,0.94301368
dep,12,0.93402529,formal_e3_ms256_retry1,0.97829026,13,0.94301368
dep,13,0.94301368,formal_e3_ms256_retry1,0.97829026,13,0.94301368
dep,14,0.94084649,formal_e3_ms256_retry1,0.97829026,13,0.94301368
dep,15,0.94101557,formal_e3_ms256_retry1,0.97829026,13,0.94301368
dep,16,0.93944638,formal_e3_ms256_retry1,0.97829026,13,0.94301368
dep,17,0.93176469,formal_e3_ms256_retry1,0.97829026,13,0.94301368
dep,18,0.92239662,formal_e3_ms256_retry1,0.97829026,13,0.94301368
dep,19,0.91600424,formal_e3_ms256_retry1,0.97829026,13,0.94301368
